Accident_Index,longitude,latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date
1,78.61039332,14.72402585,1,2,1,1,3,17:42,12,E09000020,3,3218,6,30,0,-1,-1,0,0,1,1,2,2,0,0,1,1,E01002849,43104.00
2,78.53404158,14.76235346,1,3,1,1,4,17:36,12,E09000020,4,450,3,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002909,43105.00
3,78.47087739,14.74560635,1,3,2,1,5,00:15,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002857,43106.00
4,78.55799399,14.66712796,1,3,1,1,6,10:35,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002840,43107.00
5,78.57643143,14.70344275,1,3,1,1,2,21:13,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,7,1,2,0,0,1,1,E01002863,43110.00
6,78.53105133,14.73735895,1,3,2,1,3,12:40,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,2,2,6,0,1,1,E01002832,43111.00
7,78.51672417,14.77949108,1,3,2,1,5,20:40,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002875,43113.00
8,78.57055271,14.74135682,1,3,1,2,6,17:35,12,E09000020,3,315,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002889,43114.00
9,78.51020892,14.67901549,1,3,2,2,7,22:43,12,E09000020,3,3212,6,30,6,2,4,304,0,5,4,1,1,0,0,1,1,E01002900,43115.00
10,78.56704157,14.7992631,1,3,2,5,7,16:00,12,E09000020,4,450,6,30,3,4,5,0,0,8,1,1,1,0,0,1,1,E01002875,43115.00
11,78.63085265,14.80453592,1,3,1,1,1,00:42,12,E09000020,3,4,6,30,6,2,4,325,0,5,4,1,1,0,0,1,1,E01002835,43116.00
12,78.56039757,14.72807038,1,3,2,1,3,20:48,12,E09000020,3,3220,6,30,6,2,3,308,0,5,4,1,2,0,0,1,1,E01002912,43125.00
